ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_nde24
2023,11,17846,1,0095,1,1,202308178461009516,1,6,8,1,2, ,2,16,6,6,11,7,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,2,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,358.969912449633
2023,11,17846,1,0095,1,1,202308178461009517,1,7,6,1,2, ,2,61,7,7,3,2,1962,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,280.773280204582
2023,11,17579,1,0042,1,1,202308175791004211,1,1,1,1,2, ,1,52,1,2,11,7,1971,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,12,12,12,12,12,12,12,84, ,84,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,1700, , , , , , ,1700,1700,1700,1,373.165371829438
2023,11,17579,1,0042,1,1,202308175791004212,1,2,2,1,2, ,2,51,2,2,25,11,1971,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,0,0,0,0,6,0,6, ,6,1, ,1,2,2,2,2,100,20, , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1,433,87, , , , , , , ,520,520,520,1,350.920665087682
2023,11,17579,1,0042,1,1,202308175791004213,1,3,3,1,2, ,2,25,3,3,3,2,1998,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,442.595235673304
2023,11,4767001,1,0062,1,1,20230847670011006211,1,1,1,1,2, ,1,62,1,1,31,10,1961,1, , , , , , , , , , , , , , , ,9549,4789,1, ,3,2,1,2,0,0,0,0,8,8,8,24, ,40,2,40,1,1,1,2, , , , , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,1,1,1, , ,2000, , , , , , ,2000,2000,2000,1,771.561336799959
2023,11,4767001,1,0062,1,1,20230847670011006212,1,2,2,1,2, ,2,63,2,2,15,6,1960,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,725.567906095898
2023,11,23418,1,0007,1,1,202208234181000711,1,1,1,1,2, ,1,32,1,1,27,8,1991,1, , , , , , , , , , , , , , , ,6122,4711,2, ,3,2,1,1,12,6,6,6,6,6,12,54, ,54,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,5,1, , ,900, , , , , , ,900,900,900,1,697.698300695482
2023,11,23418,1,0007,1,1,202208234181000712,1,2,2,1,2, ,2,27,2,2,12,12,1995,1, , , , , , , , , , , , , , , ,4222,8220,3,5,1, ,4,300,0,8,8,8,8,8,4,44, ,44,1, ,1,1,1,2,4,1600,100, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,1600,100, , , , , , ,399,1700,1700,2099,1,667.316548369341
2023,11,2135302,1,0035,1,1,20220821353021003511,1,1,1,1,2, ,1,80,1,1,2,8,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,1,2, , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,6,5, ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,646.381889486287
2023,11,2135302,1,0035,1,1,20220821353021003512,1,2,3,1,2, ,1,25,2,2,11,6,1998,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,7,4,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,801.549501909582
2023,11,2135302,1,0035,1,1,20220821353021003513,1,3,3,1,2, ,2,52,3,3,31,12,1970,1, , , , , , , , , , , , , , , ,3313,5210,3,5,1, ,3,80,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,3000, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,3000, , , , , , , , ,3000,3000,3000,1,607.850512621617
2023,11,25835,1,0010,1,1,202308258351001011,1,1,1,1,2, ,2,64,1,1,19,10,1959,1, , , , , , , , , , , , , , , ,2359,8549,2, ,2,2,1,1,0,2,0,2,0,2,0,6, ,6,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,1,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , ,490, , , , , , ,490,490,490,1,649.907561453671
2023,11,49617,1,0361,1,1,202308496171036111,1,1,1,1,2, ,2,73,1,1,23,6,1950,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2, , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,11,6, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,534.200532476766
2023,11,49617,1,0361,1,1,202308496171036112,1,2,3,1,2, ,2,39,2,1,20,3,1984,1, , , , , , , , , , , , , , , ,2330,8521,3,5,2,1,2,25,0,6,0,6,0,6,0,18, ,18,1, ,1,1,1,1,4,1025, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,12,1, ,2,2,2,2,2,2,10,7,1,1025, , , , , , , , ,1025,1025,1025,1,673.755164886862
2023,11,22712,1,0071,1,1,202208227121007111,1,1,1,1,2, ,1,68,1,1,17,8,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2, , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,748.194005602346
2023,11,22712,1,0071,1,1,202208227121007112,1,2,2,1,2, ,2,61,2,2,8,12,1961,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2, ,9111,9700,6, , , ,1,1,0,0,0,8,8,0,0,16, ,16,1, ,2, ,2,2,2,80,30, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1,346,130, , , , , , , ,476,476,476,1,703.593521481941
2023,11,22712,1,0071,1,1,202211227121007113,1,3,3,1,2, ,2,31,3,3,23,11,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,887.400405389919
2023,11,22712,1,0071,1,1,202211227121007114,1,4,4,1,2, ,1,25,4,4,11,10,1998,1, , , , , , , , , , , , , , , ,2341,8521,3,5,2,2,1,15,0,8,8,8,8,8,0,40, ,40,1, ,1,1,1,2,4,1100, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,7,1,1100, , , , , , , , ,1100,1100,1100,1,927.80218981525
2023,11,27973,1,0014,1,1,202208279731001411,1,1,1,1,2, ,2,42,1,2,18,6,1981,1, , , , , , , , , , , , , , , ,2221,8610,3,2, , ,5,9998,0,0,10,6,6,10,6,38, ,38,1, ,2, ,2,2,4,4500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,2, ,2,2,2,2,2,2,10,9,1,4500, , , , , , , ,100,4500,4500,4600,1,890.665465354622
2023,11,27973,1,0014,1,1,202208279731001412,1,2,2,1,2, ,1,42,2,2,6,1,1981,1, , , , , , , , , , , , , , , ,4417,8412,3,2, , ,5,9998,10,10,10,10,10,10,10,70, ,70,1, ,2, ,2,2,4,6000, , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,6000, , , , , , , , ,6000,6000,6000,1,931.215902234954
2023,11,26937,1,0032,1,1,202308269371003213,1,1,1,1,2, ,2,68,1,1,13,7,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2, , , , ,1,1,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,9,4, , , , , , , , , , , , ,1,648.02034783829
2023,11,29365,1,0023,1,1,202208293651002312,1,1,1,1,2, ,2,52,1,1,8,2,1971,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,6,6,6,6,6,6,36, ,36,1, ,2, ,2,2,2,100,20, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,1,1,1,433,600, , , , , , , ,1033,1033,1033,1,494.597120771416
2023,11,2563802,1,0083,1,1,20231125638021008311,1,1,1,1,2, ,2,62,1,1,28,1,1961,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,6, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , , , ,1,652.60064203525
2023,11,47425,1,0161,1,1,202311474251016111,1,1,1,1,2, ,2,41,1,1,15,1,1982,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,0,0,0,0,0,8,8, ,8,1, ,2, ,2,2,2,70,10, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,1,7,1,303,43, , , , , , , ,346,346,346,1,1157.80133014205
2023,11,47425,1,0161,1,1,202311474251016112,1,2,2,1,2, ,1,45,2,2,28,12,1977,1, , , , , , , , , , , , , , , ,7111,4100,3,5,1, ,1,20,0,9,9,9,9,9,5,50, ,50,1, ,2, ,2,2,2,450, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,3, ,5,2,2,2,2,2,2,10,7,1,1949, , , , , , , , ,1949,1949,1949,1,976.177168310028
2023,11,47425,1,0161,1,1,202311474251016113,1,3,3,1,2, ,1,20,3,3,25,1,2003,1, , , , , , , , , , , , , , , ,9412,5610,3,5,1, ,3,100,8,0,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,1025,45, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,8,2, ,2,2,2,2,2,2,10,1,1,1025,195, , , , , , , ,1220,1220,1220,1,1075.22957944154
2023,11,47425,1,0161,1,1,202311474251016114,1,4,3,1,2, ,2,17,4,4,19,4,2006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2, , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1173.64979341874
2023,11,28311,1,0010,1,1,202311283111001011,1,1,1,1,2, ,1,64,1,1,13,2,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2, , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,8,2, ,2,2,2,2,2,2,10,9,4, , , , , , , , , , , , ,1,837.256361412513
2023,11,28311,1,0010,1,1,202311283111001012,1,2,2,1,2, ,2,63,2,2,7,4,1960,1, , , , , , , , , , , , , , , ,5212,4721,2, ,2,2,1,2,2,4,4,4,4,4,4,26,14,40,1, ,1,2,2,2, , , , , , , ,200, , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,250,100, ,200, , , ,550,350,550,1,787.346794144831
2023,11,1818102,1,0094,1,1,20221118181021009411,1,1,1,1,2, ,1,39,1,1,4,12,1983,1, , , , , , , , , , , , , , , ,7127,4322,2, ,2,2,1,1,0,0,4,0,5,0,0,9, ,48,2,48,1,1,1,1, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,816, , , , , , ,816,816,816,1,332.928186573412
2023,11,1818102,1,0094,1,1,20221118181021009412,1,2,3,1,2, ,2,18,2,2,3,3,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,1,5, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,322.789409424891
2023,11,18571,1,0042,1,1,202308185711004211,1,1,1,1,2, ,1,89,1,1,25,12,1933,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2, , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,10,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,377.023076921887
2023,11,18571,1,0042,1,1,202308185711004212,1,2,2,1,2, ,2,73,2,2,29,9,1950,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,354.54840908257
2023,11,24890,1,0225,1,1,202311248901022511,1,1,1,1,2, ,1,18,1,1,16,12,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,2,3,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,812.57619983217
2023,11,18974,1,0010,1,1,202211189741001011,1,1,1,1,2, ,1,45,1,2,2,6,1978,1, , , , , , , , , , , , , , , ,4416,4630,3,5,1, ,2,30,0,11,11,11,11,11,11,66, ,66,1, ,2, ,2,2,4,2200, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,1,2200, , , , , , , ,317,2200,2200,2517,1,763.268054151242
2023,11,18974,1,0010,1,1,202211189741001012,1,2,2,1,2, ,2,47,2,2,31,3,1976,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,1,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,717.768993113752
