ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_nde24
2024,01,27591,1,0019,1,1,202210275911001914,1,1,1,1,2, ,1,56,1,1,24,6,1967,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , , , ,1,806.114201752975
2024,01,27591,1,0019,1,1,202210275911001912,1,2,2,1,2, ,2,55,2,1,4,6,1968,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,7, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,10,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,758.061045238346
2024,01,47318,1,0024,1,1,202310473181002411,1,1,1,1,2, ,1,39,1,1,16,3,1984,1, , , , , , , , , , , , , , , ,3314,1410,1, ,2,2,1,3,0,10,11,12,10,11,12,66, ,66,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,9,1, , ,3500, , , , , , ,3500,3500,3500,1,912.105127125841
2024,01,47318,1,0024,1,1,202310473181002412,1,2,2,1,2, ,2,34,2,2,9,4,1989,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,872.386882090533
2024,01,47318,1,0024,1,1,202310473181002416,1,4,8,1,2, ,1,22,4,4,11,2,2001,1, , , , , , , , , , , , , , , ,8153,1410,3,5,2,2,1,5,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,2,250, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,1,1083, , , , , , , , ,1083,1083,1083,1,810.17023898689
2024,01,47318,1,0024,1,1,202310473181002417,1,5,7,1,2, ,1,36,5,5,19,12,1987,1, , , , , , , , , , , , , , , ,8153,1410,3,5,2,2,1,5,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,2,250, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1083, , , , , , , , ,1083,1083,1083,1,912.105127125841
2024,01,24468,1,0011,1,1,202210244681001111,1,1,1,1,2, ,2,61,1,1,18,6,1962,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2,6, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,581.189472653505
2024,01,24468,1,0011,1,1,202210244681001112,1,2,2,1,2, ,1,64,2,2,22,7,1959,1, , , , , , , , , , , , , , , ,2421,8411,3,2, , ,5,9998,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,4800, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,4800, , , , , , , ,1200,4800,4800,6000,1,618.03081791125
2024,01,24468,1,0011,1,1,202210244681001113,1,3,3,1,2, ,1,37,3,3,26,11,1986,1, , , , , , , , , , , , , , , ,2512,6202,3,5,1, ,1,20,0,8,8,8,8,8,4,44, ,44,2,40,2, ,2,2,4,2000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,8,1,2000, , , , , , , ,668,2000,2000,2668,1,766.392595954755
2024,01,24468,1,0011,1,1,202210244681001115,1,4,3,1,2, ,2,20,4,4,5,7,2003,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,1,13,4,2,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,743.053377312333
2024,01,24468,1,0012,1,1,202210244681001211,1,1,1,1,2, ,2,57,1,1,5,6,1966,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,5,0,1,0,0,5,11, ,15,2,15,1,1,1,2,4,600,15, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,1,1,1,600,65, , , , , , , ,665,665,665,1,581.189472653505
2024,01,24468,1,0012,1,1,202210244681001212,1,2,3,1,2, ,1,26,2,2,9,1,1998,1, , , , , , , , , , , , , , , ,3412,8690,8,5,2,1,1,5,6,6,0,0,6,0,0,18, ,18,1, ,2, ,2,2,5, , , , , , , , ,2,4,1,2,5, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,3, ,2,2,2,2,2,1,10,7,1, , , , , , , , , , , , ,1,766.392595954755
2024,01,24468,1,0012,1,1,202210244681001213,1,3,6,1,2, ,1,88,3,3,25,3,1935,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,3, , ,1,4,2, ,2, ,2, ,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,6,5, ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,618.03081791125
2024,01,24468,1,0013,1,1,202210244681001311,1,1,1,1,2, ,1,43,1,1,21,2,1980,1, , , , , , , , , , , , , , , ,7127,4322,3,5,1, ,4,200,0,9,9,9,9,9,6,51, ,51,1, ,2, ,2,2,4,2000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,9,1,2000, , , , , , , ,50,2000,2000,2050,1,766.392595954755
